State,County Name,GROC09,CONVS09,FFR09,PCT_DIABETES_ADULTS09,PCT_OBESE_ADULTS09,MEDHHINC09,LACCESS_POP09,LACCESS_POP09,POPULATOIN 09,POP 09,GROC14,CONVS14,FFR14,PCT_DIABETES_ADULTS14,PCT_OBESE_ADULTS14,MEDHHINC14,PCT_LACCESS_POP14,LACCESS_POP14,POPULATION 14,POP 14
AL,Pike,9,17,30,15.3,36.9,32771,11%,3733,32899,"32,899",6,20,33,13.5,38.4,34442,14%,4535,32899,"33,020"
AL,Randolph,4,17,11,14.5,32.1,32584,5%,1061,22913,"22,913",3,18,9,14.9,30.9,37333,15%,3375,22913,"22,468"
AL,Russell,8,37,44,13.4,39.3,32733,16%,8512,52947,"52,947",12,38,44,12.9,36.4,36124,12%,6226,52947,"59,282"
AL,Shelby,26,100,128,8.2,28,67135,27%,52014,195085,"195,085",26,98,141,8.7,30.1,70879,24%,47122,195085,"205,990"
AL,Sumter,3,19,7,18.5,42.1,25586,16%,2224,13763,"13,763",3,17,7,20.1,40.3,25931,17%,2305,13763,"13,283"
AL,Talladega,7,78,49,14.5,36.8,35646,15%,12352,82291,"82,291",9,73,49,15.3,39,37911,13%,11038,82291,"81,216"
AL,Tallapoosa,5,39,24,14,36.9,34440,11%,4598,41616,"41,616",6,36,20,13.7,36.9,39051,8%,3485,41616,"41,027"
AL,Tuscaloosa,27,108,158,11.6,34.6,43098,20%,39478,194656,"194,656",21,112,161,12.3,34.3,47868,18%,34860,194656,"202,671"
AL,Walker,12,51,45,14.8,34.8,36044,11%,7530,67023,"67,023",10,45,41,16.7,33.2,37305,12%,7859,67023,"65,564"
AL,Washington,3,10,4,12.9,36.2,37639,10%,1708,17581,"17,581",2,9,3,17.8,40.2,42658,8%,1479,17581,"16,891"
AL,Wilcox,10,7,6,17.5,43.4,21611,44%,5173,11670,"11,670",7,8,5,19.3,44.9,23014,43%,4997,11670,"11,028"
AL,Winston,8,22,12,11.8,36,32574,4%,1011,24484,"24,484",8,18,10,13.2,30.2,36497,6%,1459,24484,"24,083"
AK,Bethel,25,5,5,6,30.1,45481,78%,13273,17013,"17,013",22,7,7,5.8,30.3,44849,68%,11505,17013,"17,959"
AK,Dillingham,5,2,0,8.2,34.2,46845,33%,1579,4847,"4,847",6,3,1,7.2,38,50753,51%,2462,4847,"4,989"
AK,Haines,3,0,1,7.9,31.9,46111,21%,519,2508,"2,508",3,0,1,7.9,25.5,57876,21%,519,2508,"2,537"
AK,Juneau,7,4,22,5.5,26.2,69844,32%,10138,31275,"31,275",6,9,31,5.9,28.6,82892,32%,10063,31275,"32,511"
AK,Nome,15,1,4,7,35.7,43147,53%,5066,9492,"9,492",17,1,1,6,31.7,52952,56%,5276,9492,"9,834"
AK,Sitka,4,2,4,7,29.7,58000,18%,1617,8881,"8,881",4,2,4,6.7,28.7,68472,18%,1632,8881,"8,883"
AK,Valdez-Cordova,8,7,9,6.9,29.1,60297,28%,2694,9636,"9,636",8,7,9,7.4,30.4,70101,52%,5011,9636,"9,453"
AK,Yakutat,2,0,1,7.7,30.5,49331,0%,3,662,662,2,0,0,7.9,31.3,53795,100%,662,662,642
AK,Yukon-Koyukuk,12,5,0,7.5,32.6,35177,100%,5588,5588,"5,588",9,4,0,8.3,28.3,37755,100%,5588,5588,"5,548"
AZ,Apache,10,35,15,13.9,33.3,30651,65%,46747,71518,"71,518",9,40,16,14.4,35.2,31072,71%,50447,71518,"72,034"
AZ,Cochise,17,60,52,8.8,23.7,43677,39%,51625,131346,"131,346",19,56,61,10.3,26,43451,42%,55219,131346,"127,321"
AZ,Coconino,19,82,112,7.1,25.3,43051,30%,40657,134421,"134,421",21,77,120,7.6,23.2,51955,31%,41436,134421,"137,695"
AZ,Gila,9,28,33,11.5,25.8,37430,24%,12811,53597,"53,597",7,33,34,11.2,27.5,41346,33%,17451,53597,"53,124"
AZ,Graham,7,17,16,9.5,32.5,39299,31%,11663,37220,"37,220",6,17,16,10.3,32.5,44169,37%,13894,37220,"38,013"
AZ,Greenlee,1,7,3,9.4,35.8,49592,71%,5957,8437,"8,437",2,6,2,10.7,34.7,58854,70%,5896,8437,"9,315"
AZ,Maricopa,512,999,2674,7.5,23.7,50424,13%,492281,3817117,"3,817,117",494,984,2781,9,25.4,56017,13%,511216,3817117,"4,083,931"
AZ,Mohave,19,90,109,12.3,27.1,36446,44%,88374,200186,"200,186",19,90,114,12.8,29.6,40360,44%,88342,200186,"202,985"
AZ,Navajo,18,55,55,13.5,31.5,37723,33%,35575,107449,"107,449",14,57,54,13.1,30.9,37658,39%,41411,107449,"108,178"
AZ,Pima,128,282,590,7.8,25.6,44293,24%,232208,980263,"980,263",127,290,611,8.8,24.2,47107,22%,218482,980263,"1,003,157"
AZ,Pinal,33,74,122,9.5,29.7,49833,17%,65190,375770,"375,770",29,75,115,12.3,31.6,50888,21%,80762,375770,"396,024"
AZ,Yavapai,34,81,141,8.8,21.5,40562,33%,70248,211033,"211,033",32,72,128,10.5,25.3,47220,33%,68597,211033,"218,405"
AZ,Yuma,34,64,103,10.2,29.4,40609,22%,43753,195751,"195,751",31,65,117,12.6,30.5,40426,20%,39777,195751,"203,111"
AR,Arkansas,5,10,18,13.1,36.1,38129,22%,4198,19019,"19,019",4,16,11,12.9,33.8,41179,38%,7184,19019,"18,502"
AR,Ashley,8,14,13,11.9,39.2,37042,20%,4342,21853,"21,853",4,16,15,14.5,42.1,39871,21%,4634,21853,"20,920"
AR,Baxter,7,27,31,10.9,28.2,34421,12%,4980,41513,"41,513",7,20,32,16,32.3,36902,11%,4618,41513,"40,797"
AR,Benton,30,79,137,7.3,28,52417,20%,43591,221339,"221,339",30,86,160,9.6,30.1,60294,16%,34547,221339,"243,991"
AR,Boone,4,18,25,11.7,29.1,35532,30%,11075,36903,"36,903",4,24,23,12.4,33.9,40909,23%,8412,36903,"37,206"
AR,Bradley,3,7,4,13.7,31.8,31047,11%,1255,11508,"11,508",3,5,6,13.1,39,37331,11%,1240,11508,"11,024"
AR,Calhoun,25,88,95,14.2,33.6,37916,26%,30901,118572,"118,572",27,74,103,14.9,32.2,42091,23%,27786,118572,"115,837"
AR,Carroll,5,15,19,10.7,26.3,33789,9%,2359,27446,"27,446",5,17,15,13,35.8,37587,7%,1943,27446,"27,742"
AR,Chicot,5,11,6,15,38.1,27321,5%,602,11800,"11,800",3,10,5,15.2,43.1,29968,60%,7116,11800,"11,196"
AR,Clark,5,10,20,11.1,33.8,33433,9%,2102,22995,"22,995",2,11,19,11.6,34.3,37856,41%,9423,22995,"22,663"
AR,Clay,3,8,4,14.8,34.3,33035,5%,743,13932,"13,932",3,7,4,14.6,37.3,38908,5%,643,13932,"13,503"
AR,Cleburne,3,11,7,12.4,29.9,37566,1%,147,14972,"14,972",2,10,8,12.6,30,42136,5%,790,14972,"15,076"
AR,Cleveland,2,5,2,12.1,32.7,40402,25%,2129,8689,"8,689",1,5,1,13,35.7,44123,21%,1839,8689,"8,410"
AR,Columbia,4,17,15,13.1,31.9,34538,18%,4406,24552,"24,552",3,16,22,12.9,36.4,38057,17%,4237,24552,"24,078"
AR,Conway,4,16,9,11.7,33,37475,21%,4502,21273,"21,273",4,16,7,13.7,39.7,43702,17%,3553,21273,"21,019"
AR,Craighead,19,28,79,10.9,33.1,37780,25%,24130,96443,"96,443",20,39,76,13.1,36.4,42460,17%,15955,96443,"102,621"
AR,Crawford,8,27,28,8.9,33.3,39672,21%,13071,61948,"61,948",8,26,28,11.4,35.1,46545,17%,10484,61948,"61,840"
AR,Crittenden,11,23,35,13.5,37.5,33938,12%,6121,50902,"50,902",9,29,34,15.8,38.8,37371,13%,6477,50902,"49,538"
AR,Cross,4,5,9,11.9,34.3,35080,16%,2947,17870,"17,870",3,13,12,13.6,37.9,39132,13%,2383,17870,"17,182"
AR,Dallas,9,39,20,16,41.4,26195,18%,7786,43820,"43,820",8,31,19,19,40.8,29682,17%,7640,43820,"41,532"
AR,Desha,6,10,10,13.9,37.8,29586,30%,3930,13008,"13,008",4,8,9,15.1,39.6,30987,35%,4559,13008,"12,245"
AR,Drew,2,11,15,11.7,35.8,34952,19%,3526,18509,"18,509",2,12,15,13.6,34.3,39339,22%,3989,18509,"18,669"
AR,Faulkner,11,43,62,10.4,32.5,46199,25%,28689,113237,"113,237",10,47,79,11.2,33.2,51157,17%,18909,113237,"120,683"
AR,Franklin,6,23,22,14.6,31.2,33649,10%,3074,31704,"31,704",8,16,18,13.9,33.2,38535,12%,3663,31704,"31,540"
AR,Fulton,1,5,7,11.8,30.7,30191,19%,2320,12245,"12,245",1,6,4,15.6,32.9,34717,19%,2343,12245,"12,130"
AR,Garland,18,49,75,10.7,27.7,36690,32%,30262,96024,"96,024",17,49,85,14.5,32.3,37723,28%,27118,96024,"97,183"
AR,Grant,3,8,9,10.1,35.8,45347,12%,2120,17853,"17,853",2,11,6,11.1,38.3,47652,12%,2119,17853,"18,059"
AR,Greene,5,8,1,18.8,47.6,27117,36%,3287,9045,"9,045",2,12,1,21,46.3,25398,33%,2963,9045,"8,525"
AR,Hempstead,8,15,12,13.4,36.4,31786,24%,5535,22609,"22,609",3,16,11,13.5,40.3,34560,29%,6581,22609,"22,289"
AR,Howard,5,11,8,12.8,34.6,32543,15%,2028,13789,"13,789",1,11,9,13.4,35.7,33199,41%,5677,13789,"13,488"
AR,Independence,5,12,22,11.5,29.8,35888,19%,6847,36647,"36,647",6,21,21,13.1,37.2,38241,15%,5563,36647,"37,113"
AR,Izard,4,7,3,10.3,29,29883,6%,810,13696,"13,696",4,9,3,15.5,33.9,35355,1%,151,13696,"13,508"
AR,Jackson,15,34,30,13.6,30.5,36158,9%,4855,53227,"53,227",11,47,29,14.9,32,40201,8%,4219,53227,"52,580"
AR,Jefferson,108,433,578,12.4,32,41740,32%,209261,658466,"658,466",108,459,642,13,33.2,48415,31%,205658,658466,"659,733"
AR,Johnson,1,13,17,10.6,35.4,32326,9%,2319,25540,"25,540",2,11,11,12.5,36.4,35877,6%,1503,25540,"25,998"
AR,Lafayette,3,7,2,12.6,30.6,29084,21%,1614,7645,"7,645",2,7,3,15.3,36.3,33864,21%,1616,7645,"7,119"
AR,Lawrence,7,18,25,13.6,38.1,37365,4%,1349,34339,"34,339",5,19,16,15.6,35.5,41771,5%,1648,34339,"33,432"
AR,Lee,13,74,108,10.2,30,40102,31%,43795,140247,"140,247",17,76,128,9.5,29,46442,26%,36836,140247,"154,277"
AR,Lincoln,1,6,2,10.5,36.2,35070,34%,4853,14134,"14,134",1,5,5,12.3,37.5,40216,33%,4694,14134,"13,967"
AR,Logan,3,14,12,11.8,28.8,36015,14%,3074,22353,"22,353",2,19,13,13.8,37.5,37924,9%,2070,22353,"21,959"
AR,Lonoke,11,28,38,11.2,34.1,50021,19%,13017,68356,"68,356",8,33,38,13.1,35.8,56240,18%,12276,68356,"71,563"
AR,Madison,35,211,300,11.8,31.4,54633,33%,110052,334811,"334,811",44,213,330,11.5,32.3,59117,26%,88544,334811,"350,121"
AR,Marion,5,18,26,12.3,32.7,32080,2%,538,30776,"30,776",3,24,17,18.7,35.5,34977,6%,1929,30776,"30,250"
AR,Miller,11,26,24,13.3,37.8,37806,25%,10974,43462,"43,462",7,26,24,12.3,35.9,39005,33%,14529,43462,"43,556"
