State,County Name,Grocery 2009,Convenience 2009,Fast Food Restaurants 2009,Adult Diabetes % 2009,Adult Obsesity % 2009,Median Household Income 2009,Limited Access Population% 2009,Limited Access Population 2009,Population 2009,Grocery 2014,Convenience 2014,Fast Food Restaurants 2014,Adult Diabetes 2014,Adult Obesity 2014,Median Household Income 2014,Limited Access % 2014,Limited Access 2014,Population 2014,FF per capita 2009,FF per capita 2014,% change FF Per Capita,Grocery per capita 2009,Grocery per capita 2014,% change in grocery per capita,% change in Access,% Change in Obesity,% change in income
AL,Coosa,0,9,0,15.1,33.8,33721,25%,2837,"11,539",1,8,1,17.3,39.7,36078,25%,2829,"10,794",0,9.26441E-05,0%,0,9.26441E-05,#DIV/0!,0%,17%,7%
AK,Dillingham,5,2,0,8.2,34.2,46845,33%,1579,"4,847",6,3,1,7.2,38,50753,51%,2462,"4,989",0,0.000200441,0%,0.001031566,0.001202646,17%,55%,11%,8%
CO,Mineral,1,0,0,6.9,19,45645,96%,682,712,1,2,1,6.8,18.1,50481,13%,91,693,0,0.001443001,0%,0.001404494,0.001443001,3%,-86%,-5%,11%
GA,Irwin,1,6,0,11.7,31.2,32859,7%,678,"9,538",1,7,4,12.4,29.2,35284,7%,710,"9,133",0,0.000437972,0%,0.000104844,0.000109493,4%,0%,-6%,7%
IN,Ohio,1,3,0,11,29.9,47937,0%,0,"6,128",1,2,2,12.4,30.4,53177,0%,0,"6,014",0,0.000332557,0%,0.000163185,0.000166279,2%,0%,2%,11%
IA,Audubon,2,3,0,10.4,33.2,45563,4%,254,"6,119",1,3,1,11.7,31.2,50948,8%,462,"5,785",0,0.000172861,0%,0.000326851,0.000172861,-47%,100%,-6%,12%
KS,Comanche,2,1,0,10.3,28.9,38207,18%,337,"1,891",2,4,1,11.1,33.6,43809,18%,337,"1,945",0,0.000514139,0%,0.001057641,0.001028278,-3%,0%,16%,15%
KS,Haskell,1,3,0,10.1,30.7,51257,100%,4256,"4,256",2,2,1,9.8,33.9,59356,100%,4256,"4,076",0,0.000245339,0%,0.000234962,0.000490677,109%,0%,10%,16%
KS,Jewell,2,1,0,12.3,33.7,37640,27%,836,"3,077",3,1,2,13,29.6,43201,27%,826,"3,038",0,0.000658328,0%,0.000649984,0.000987492,52%,0%,-12%,15%
KS,Lane,1,2,0,10.5,34,44288,100%,1750,"1,750",1,1,1,11.8,30.8,57388,22%,390,"1,685",0,0.000593472,0%,0.000571429,0.000593472,4%,-78%,-9%,30%
